Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID,calificacion
"Johansyah M.D., Foster B., Bon A.T.",57211939846;57210816271;6603675420;,The influence of online marketing against interest in buying SMEs products,2019,Proceedings of the International Conference on Industrial Engineering and Operations Management,,November,,585,591,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080922571&partnerID=40&md5=45488ec119ce8b62809daabcd1f01250,"Department of Mathematics, Faculty of Mathematics and Natural Sciences, Universitas Padjadjaran, Indonesia; University of Business and Informatics Indonesia, Jl. Soekarno-Hatta No.643, Sukapura, Kiaracondong, Bandung City, West Java, 40285, Indonesia; Department of Production and Operations, University Tun Hussein Onn Malaysia, Malaysia","Johansyah, M.D., Department of Mathematics, Faculty of Mathematics and Natural Sciences, Universitas Padjadjaran, Indonesia; Foster, B., University of Business and Informatics Indonesia, Jl. Soekarno-Hatta No.643, Sukapura, Kiaracondong, Bandung City, West Java, 40285, Indonesia; Bon, A.T., Department of Production and Operations, University Tun Hussein Onn Malaysia, Malaysia","The purpose of this research is to find out how the influence of online marketing variables consisting of Personal Relevance, Online Interactivity, Message, and Brand Familiarity to Buy Interest. In this study, the authors take the object in the online shopping application Qlapa. com which specializes in selling handmade products. The sampling technique used by the author is a non probability sampling technique, because not all samples have criteria that are in accordance with what the author specified. Based on calculations, the sample used in this study was 100 people. The research method used in this research is to use quantitative methods. The analysis was carried out using the multiple regression analysis method to explain the effect of the variables in this study. To clarify the variables studied, from what has been formulated in the description above, that the main problem under study is Personal Relevance (X1), Online Interactivity (X2), Message (X3), Brand Familiarity (X4), and Buying Interest (Y). From the results of the research and discussion conducted, this study also found that both simultaneous and partial variables of Personal Relevance, Online Interactivity, Message, and Brand Familiar have a significant influence on buying interest. © IEOM Society International.",And multiple regression; Buying interest; Handmade products; Non-probability sampling; Online marketing variables,,,,IEOM Society,21698767,,,,English,Proc. Int. Conf. Ind. Eng. Oper. Manage.,Conference Paper,Final,,Scopus,2-s2.0-85080922571,3
"Dumitriu D., Militaru G., Deselnicu D.C., Niculescu A., Popescu M.A.",56375678200;24338682200;42061219100;38663078900;57190865593;,"A perspective over modern SMEs: Managing brand equity, growth and sustainability through digital marketing tools and techniques",2019,Sustainability (Switzerland),11,7,2111,,,,3,10.3390/su10022111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069779466&doi=10.3390%2fsu10022111&partnerID=40&md5=3ebb6a3fa5d2b282fa426f6f4840ed47,"Faculty of Entrepreneurship, Business Engineering and Management, University Politehnica of Bucharest, Bucharest, 060042, Romania","Dumitriu, D., Faculty of Entrepreneurship, Business Engineering and Management, University Politehnica of Bucharest, Bucharest, 060042, Romania; Militaru, G., Faculty of Entrepreneurship, Business Engineering and Management, University Politehnica of Bucharest, Bucharest, 060042, Romania; Deselnicu, D.C., Faculty of Entrepreneurship, Business Engineering and Management, University Politehnica of Bucharest, Bucharest, 060042, Romania; Niculescu, A., Faculty of Entrepreneurship, Business Engineering and Management, University Politehnica of Bucharest, Bucharest, 060042, Romania; Popescu, M.A., Faculty of Entrepreneurship, Business Engineering and Management, University Politehnica of Bucharest, Bucharest, 060042, Romania","On their way towards assuring growth and long-term sustainability, many modern small and medium sized enterprises (SMEs) from the European Union have set building a stronger brand as one of their primary goals. To achieve this, an integrated framework for managing the continuous enhancement of their brand equity level by adopting digital marketing tools and techniques (DMTTs), has increasingly become a necessity for most of the modern SMEs. However, even if such an approach provides plenty of benefits, such as better audience targeting and reduction of traditional marketing expenses, implementing these complex processes in their business models poses a series of challenges like choosing the best selection of DMTTs. For this reason, a conceptual model is proposed in the first part of the paper, with the aim to highlight a framework that will help underline the links between DMTTs and other key elements that can provide an increase in brand equity of SMEs, thus contributing to growth and enhancing the sustainability level. Following the proposed model, research aimed at two main directions has been conducted in the second part. The first direction was to analyze the degree in which modern SMEs from the European Union located in Romania dedicate themselves toward embracing sustainability goals and principles. The second one represents an analysis using also the SPSS software solution on the most used selections of DMTTs mentioned in the presented conceptual model. The results obtained provide a starting point for those modern SMEs that choose to follow the path of sustainability by creating and enhancing their brand equity through DMTTs. © 2018 by the authors.",Brand equity; Digital marketing tools and techniques; DMTTs; Modern SMEs; Sustainability; Sustainable growth,conceptual framework; equity; European Union; numerical model; small and medium-sized enterprise; software; sustainability; Romania,"Dumitriu, D.; Faculty of Entrepreneurship, Business Engineering and Management, University Politehnica of BucharestRomania; email: dan.dumitriu@upb.ro",,MDPI AG,20711050,,,,English,Sustainability,Article,Final,,Scopus,2-s2.0-85069779466,3
"Bartoloni S., Ancillai C., Pascucci F., Gregori G.L.",57203163204;57201359345;57192997985;42861365300;,Are SMEs 'cutting corners' on social media marketing? An exploratory study in the Italian context,2019,International Journal of Internet Marketing and Advertising,13,4,,302,320,,,10.1504/IJIMA.2019.103460,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074891577&doi=10.1504%2fIJIMA.2019.103460&partnerID=40&md5=3adb4df1586029ba2ddcd51bf5cafd6b,"Università Politecnica Delle Marche, Piazzale Martelli n 8, Ancona, 60121, Italy","Bartoloni, S., Università Politecnica Delle Marche, Piazzale Martelli n 8, Ancona, 60121, Italy; Ancillai, C., Università Politecnica Delle Marche, Piazzale Martelli n 8, Ancona, 60121, Italy; Pascucci, F., Università Politecnica Delle Marche, Piazzale Martelli n 8, Ancona, 60121, Italy; Gregori, G.L., Università Politecnica Delle Marche, Piazzale Martelli n 8, Ancona, 60121, Italy","The recent rise of social media has presented small and medium size firms with renewed challenges and benefits. Despite the impact of social media on businesses' activities has been largely acknowledged, research on their adoption and use by SME is still limited. Therefore, the scope of this study is twofold: bridging a theoretical gap and answering a business problem. In particular, the study aims to analyse social media adoption, level of usage, strategies and barriers in the context of SMEs. Empirical data were collected in two phases: a cross-sectional survey (122 completed questionnaires) followed by a multiple case study analysis of seven SMEs. The findings show that, despite a high adoption rate of social media, its actual usage often seems to be improvised and lacking a clear strategy. SMEs seem to be deficient of an adequate organisational structure, skilled human resources and financial resources. A positive relationship between the presence of a marketing function and social media use also emerged. Copyright © 2019 Inderscience Enterprises Ltd.",Digital marketing; Marketing function; Multiple case study; SMEs; Social media use; Survey,,"Bartoloni, S.; Università Politecnica Delle Marche, Piazzale Martelli n 8, Italy; email: s.bartoloni@univpm.it",,Inderscience Enterprises Ltd.,14775212,,,,English,Int. J. Internet Mark. Advert.,Article,Final,,Scopus,2-s2.0-85074891577,3
"Gáti M., Bauer A.",57205214658;56675279400;,Marketing decision-making in hungarian smes [Marketinške odluke u mađarskim malim i srednjim poduzećima],2019,Market-Trziste,31,1,,39,59,,1,10.22598/mt/2019.31.1.39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081210388&doi=10.22598%2fmt%2f2019.31.1.39&partnerID=40&md5=5500a29dea8591f821a5b5cde8e1bce6,"Corvinus University of Budapest, Fővám tér 8., Budapest, H-1093, Hungary","Gáti, M., Corvinus University of Budapest, Fővám tér 8., Budapest, H-1093, Hungary; Bauer, A., Corvinus University of Budapest, Fővám tér 8., Budapest, H-1093, Hungary","Purpose – Small and medium-sized enterprises (SMEs) play an important role in the economy, in both national and international markets. These organizations work under different conditions, possess different capabilities, and therefore have a different approach to certain company functions (e.g., marketing). SMEs define their marketing activity within a scope that differs from their large counterparts. Our aim is to provide a better understanding of certain influencing factors that are the antecedents to the understanding of an SME’s marketing activities. Design/Methodology/Approach – Since relatively little has been written on these effects, we decided to use a qualitative approach because of both the sample (SMEs) and the research problem. The SME marketing activity was analyzed from an exploratory perspective, with the research conducted in the form of in-depth interviews in 15 SMEs. We had the opportunity to analyze our research questions in a Hungarian context. Findings and implications – As a result, some influencing patterns emerged, such as the deciding role of the SME leader, strong customer focus, the ability to adapt to the market, and innovative, entrepreneurial characteristics. The results can help both theoretical researchers of SME marketing and SME marketing practitioners. Limitations – The limitations of this paper lie in the sample size and structure, and in the limitations of qualitative methodology. Originality – Despite limitations, the influencing factors that emerged have not been analyzed in prior empiri cal studies in terms of SMEs’ decision-making factors in the context of online marketing and use of social media tools. By answering our research questions, we can provide a better explanation of how marketing decisions are made by SMEs. © 2019, University of Zagreb, Faculty of Economics and Business Zagreb. All rights reserved.",Qualitative in-depth interviews; Small and medium-sized enterprise marketing; Small and medium-sized enterprise marketing decisions; Small and medium-sized enterprises; The scope of small and medium-sized enterprise marketing,,,,"University of Zagreb, Faculty of Economics and Business Zagreb",18491383,,,,English,Mark. -Trziste,Article,Final,Open Access,Scopus,2-s2.0-85081210388,2
"Kim D.-S., You Y.-Y.",57215220763;55812871800;,A study of the effects of marketing competency factors on the export performance of Korean SMEs on global e-Commerce platforms,2019,"International Journal of Innovation, Creativity and Change",9,3,,325,336,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080152058&partnerID=40&md5=dad45f8088fcf51e76c3f49086652ff1,"Dept. of Smart Convergence Consulting, Hansung Universityks013, South Korea","Kim, D.-S., Dept. of Smart Convergence Consulting, Hansung Universityks013, South Korea; You, Y.-Y., Dept. of Smart Convergence Consulting, Hansung Universityks013, South Korea","Many marketing performance studies have focused on e-commerce exports, which have been growing rapidly in recent years, but there are few studies on marketing competency factors based on the type of online shopping malls. The purpose of this study is to study the effect of marketing capability factors on export performance. The research subjects are power sellers who are subscribed to Go-global, KTNET's ecommerce export customs clearance service. The survey consisted of marketing competencies and exportability-related items, and was measured using the Likert fivepoint scale. For the descriptive statistical analysis, exploratory factor analysis, reliability analysis, correlation analysis, and regression analysis were performed using the SPSS 22 statistical package. Looking at the results of this study, the p values of measured independent variables, such as product factors, logistics factors and customer factors, were measured at the.000,.008 and.000 levels respectively, and the significance was verified. Second, marketing capabilities are found to have a positive impact on export performance. Using the beta value of the standardization factor, the relative effect of the three independent variables on the dependent variables of export performance was shown to be the product (.376), followed by the customer (.294) and logistics (.183). Unlike other studies, logistics competence is of low importance, which is not due to the importance of logistics factors, but rather related to the use of advanced logistics services by the open market. Third, marketing capabilities have been shown to affect the financial and non-financial performance of open market operators. For the open market entry shopping malls in this study, it was found that marketing capabilities were the most influential in terms of non-financial performance among export performance on increased purchases by existing customers. Although generalization of the results of this study is limited, as it only targets analysis of marketing performance factors in open-market shopping malls, it provides a basis for the necessary marketing mix to power sellers and the policy direction for e-commerce development. © 2019 Primrose Hall Publishing Group.",Business-to-consumer (B2C); Customer satisfaction; Korean wave; Marketing factors; Online export; Online marketing; Open market,,"You, Y.-Y.; Dept. of Smart Convergence Consulting, Hansung UniversitySouth Korea; email: orthreey0818@hansung.ac.kr",,Primrose Hall Publishing Group,22011315,,,,English,Int. J. Innov. Creat. Change,Article,Final,,Scopus,2-s2.0-85080152058,3
Ulas D.,12794003400;,Digital Transformation Process and SMEs,2019,Procedia Computer Science,158,,,662,671,,,10.1016/j.procs.2019.09.101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076258751&doi=10.1016%2fj.procs.2019.09.101&partnerID=40&md5=d705f31ebc4109c4981a53024e3228fe,"Ankara University, Faculty of Political Sciences, Cebeci, Ankara, 06590, Turkey","Ulas, D., Ankara University, Faculty of Political Sciences, Cebeci, Ankara, 06590, Turkey","The process of digital transformation is a period in which entities, universities, public and employees are transformed and; new business models and business practices are formed. Digital transformation is a functional use of web in design, manufacturing, marketing, selling, promotion and is data-oriented management model. Therefore, capabilities of firms are increased and their processes are improved. Digital technologies are developments regarding smartphones, cloud computing, big data, artificial intelligence, robotics systems, internet of things, 3D printing, virtualization, cyber security, sensor technologies, advanced robotics systems, automation and etc. which all is intensely used in many fields of economic and social life.SME's consist of 99,83 % total enterprises, and 72,7 % of total employment, 50,6 % of total value added and provide 55,1 % of export, take an important role in economy. They should transform their organizational structures and business making cultures starting from manufacturing technologies to management percepts as to get a productive digital transformation process. The fact that SME's being able to perform cost-benefit analysis of digital technologies and being aware of that technologies is significant.This paper provides a comprehensive view of the factors affecting digital transformation process and describes the digital transformation of the manufacturing sector in Turkey.The programs and softwares that SMEs can use to perform digital transformation, and can benefit from it, are explained. Empirical studies on SMEs shows that SMEs have erratic behaviors in terms of information and communications technology (ICT) investment and need external support to integrate digital transformations in the overall strategy of the firm. © 2019 The Authors. Published by Elsevier B.V.",3D printing; Big data; Cloud computing; Digital transformation; E-commerce;enterprise 4.0; SMEs,3D printers; Big data; Cloud computing; Cost benefit analysis; Engineering research; Robotics; 3-D printing; Digital technologies; Digital transformation; Information and communications technology; Manufacturing sector; Manufacturing technologies; Organizational structures; SMEs; Metadata,"Ulas, D.; Ankara University, Faculty of Political SciencesTurkey; email: ulas@politics.ankara.edu.tr",Sener S.,Elsevier B.V.,18770509,,,,English,Procedia Comput. Sci.,Conference Paper,Final,Open Access,Scopus,2-s2.0-85076258751,2
Alnsour M.S.,43060990700;,Online relationship marketing for banks in face-to-face economies,2018,Journal of Marketing Analytics,6,3,,105,116,,,10.1057/s41270-018-0032-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046343490&doi=10.1057%2fs41270-018-0032-z&partnerID=40&md5=93a863cd67da2f346ad1596b277e50ec,"Faculty of Business Administration, Al-Balqa Applied University, Al-Salt, 19117, Jordan","Alnsour, M.S., Faculty of Business Administration, Al-Balqa Applied University, Al-Salt, 19117, Jordan","Online relationship marketing enables organisations to maintain and develop relationships with new and existing customers. In this study, we investigate online relationship marketing and the resulting loyalty for banks and their customers in an economy where face-to-face interactions are the norm. We introduce a model comprising relationship interaction and relationship quality and validate this for Jordanian banks and their SME customers. Increases in relational interaction were found to have a positive effect on the relationship quality dimensions of trust, satisfaction, and commitment. These then led to an increase in customer loyalty. Despite the preference in the economy for social presence in retail interactions, banks were able to establish effective online retail relationships with their SME customers. © 2018, Macmillan Publishers Ltd., part of Springer Nature.",Loyalty; Online relationship marketing; Relational interaction; Relationship quality,,"Alnsour, M.S.; Faculty of Business Administration, Al-Balqa Applied UniversityJordan; email: m.s.alnsour@bau.edu.jo",,Palgrave Macmillan Ltd.,20503326,,,,English,J. Marketing Analytics,Article,Final,,Scopus,2-s2.0-85046343490,2
"Dilham A., Sofiyah F.R., Muda I.",57195232647;57204116002;6508070248;,The internet marketing effect on the customer loyalty level with brand awareness as intervening variables,2018,International Journal of Civil Engineering and Technology,9,9,,681,695,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054570262&partnerID=40&md5=8243348acfb8cc3ee868c2c7cdbd597d,"Universitas Sumatra Utara, Medan, Indonesia","Dilham, A., Universitas Sumatra Utara, Medan, Indonesia; Sofiyah, F.R., Universitas Sumatra Utara, Medan, Indonesia; Muda, I., Universitas Sumatra Utara, Medan, Indonesia","The purpose of this study is to determine whether internet marketing can affect the level of customer loyalty with brand awareness as an intervening variable. This research is an associative research that is to know the impact to each variables. The population is the MSMEs female in North Sumatra, Indonesia with the number of samples of 95 respondents selected by purposive sampling technique. Primary data collection using questionnaires, interviews as well as literature study for secondary one. Hypothesis test in this study using multiple linear regression analysis technique with significance value α = 5% (0.05). The results of this study are internet marketing indicators that have significant impact on brand awareness however customer relationship, online and satisfaction variables have no significant effect on brand awareness. Internet marketing indicators that have a significant influence on customer loyalty are just customer relationship and satisfaction variables, while process variables, online and exchange have no significant effect on customer loyalty to female SMEs in North Sumatera. Internet marketing depicted with customer relationship variables and satisfaction can affect the level of customer loyalty through existing brand awareness. © IAEME.",Brand awareness; Internet marketing; Loyalty,,"Dilham, A.; Universitas Sumatra UtaraIndonesia; email: amidilham@usu.ac.id",,IAEME Publication,9766308,,,,English,Int.J. Civ. Eng. Technol.,Article,Final,,Scopus,2-s2.0-85054570262,2
"Mihai Dobrescu R., Petronela Simion C., Grecu I., Aurelian Popescu C.",57204121620;57204126781;55926875800;57204123879;,Study on the degree of use and knowledge of digital marketing elements in Romanian small and medium enterprises,2018,MATEC Web of Conferences,184,,4017,,,,1,10.1051/matecconf/201818404017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054581332&doi=10.1051%2fmatecconf%2f201818404017&partnerID=40&md5=59613329a9e4332ff8f637978844f8b3,"Politehnica University of Bucharest (UPB), Faculty of Entrepreneurship, Business Engineering and Management, Romania","Mihai Dobrescu, R., Politehnica University of Bucharest (UPB), Faculty of Entrepreneurship, Business Engineering and Management, Romania; Petronela Simion, C., Politehnica University of Bucharest (UPB), Faculty of Entrepreneurship, Business Engineering and Management, Romania; Grecu, I., Politehnica University of Bucharest (UPB), Faculty of Entrepreneurship, Business Engineering and Management, Romania; Aurelian Popescu, C., Politehnica University of Bucharest (UPB), Faculty of Entrepreneurship, Business Engineering and Management, Romania","This paper aims to identify digital marketing elements, to analyze and to study the industry's degree of knowledge regarding digital marketing, as well as the degree of use of digital technology in the marketing mix of small and medium enterprises(SME's) in Romania. First of all, the basic concepts of digital marketing will be defined and analyzed: e-bussines, e-commerce and e-marketing, and then, in order to identify the degree of knowledge of these elements as well as the degree of use in the promotion process, a statistical research was carried out which had the following objectives: to determine the degree to which SMEs in Romania know the concepts of digital marketing; to identify whether these organizations have developed digital marketing strategies; to identify whether there are people or groups of people who are responsible for digital marketing activities at the organization level. © The Authors, published by EDP Sciences, 2018.",,Commerce; Basic concepts; Degree-of-knowledge; Digital marketing; Digital technologies; E-marketing; Marketing mix; Small and medium enterprise; Statistical research; Marketing,"Mihai Dobrescu, R.; Politehnica University of Bucharest (UPB), Faculty of Entrepreneurship, Business Engineering and ManagementRomania; email: author@e-mail.org",Pele A.V.Grebenisan G.,EDP Sciences,2261236X,,,,English,MATEC Web Conf.,Conference Paper,Final,Open Access,Scopus,2-s2.0-85054581332,3
"Teixeira S., Branco F., Martins J., Au-Yong-Oliveira M., Moreira F., Goncalves R., Perez-Cota M., Jorge F.",57196347834;7003808329;35321317600;57193326824;8649758400;24399121800;6507441503;57201501098;,Main factors in the adoption of digital marketing in startups an online focus group analysis,2018,"Iberian Conference on Information Systems and Technologies, CISTI",2018-June,,,1,5,,4,10.23919/CISTI.2018.8399435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049883194&doi=10.23919%2fCISTI.2018.8399435&partnerID=40&md5=877c1aced23347eea2fb1ba1a33ff1c9,"University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; INESC TEC, UTAD, Vila Real, Portugal; GOVCOPP, Department of Economics, Management, Industrial Engineering and Tourism, University of Aveiro, Aveiro, Portugal; 3IJP, REMIT, University Portucalense, Porto, Portugal; Informatics Department, University of Vigo, Vigo, Spain; UTAD, CETRAD (Centro de Estudos Transdisciplinares Para O Desenvolvimento), Portugal","Teixeira, S., University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Branco, F., University of Trás-os-Montes e Alto Douro, Vila Real, Portugal, INESC TEC, UTAD, Vila Real, Portugal; Martins, J., University of Trás-os-Montes e Alto Douro, Vila Real, Portugal, INESC TEC, UTAD, Vila Real, Portugal; Au-Yong-Oliveira, M., GOVCOPP, Department of Economics, Management, Industrial Engineering and Tourism, University of Aveiro, Aveiro, Portugal; Moreira, F., 3IJP, REMIT, University Portucalense, Porto, Portugal; Goncalves, R., University of Trás-os-Montes e Alto Douro, Vila Real, Portugal, INESC TEC, UTAD, Vila Real, Portugal; Perez-Cota, M., Informatics Department, University of Vigo, Vigo, Spain; Jorge, F., UTAD, CETRAD (Centro de Estudos Transdisciplinares Para O Desenvolvimento), Portugal","The main purpose of this paper is to help small businesses such as startups to successfully adopt and implement digital marketing as a strategy in their business plan. Given that many of these companies have a considerable number of fragile internal characteristics, such as a lack of access to financial capital while lacking also qualified human resources, they can't adopt a technology without first evaluating how it would affect them. With this in mind, this study will go through several stages of qualitative analysis to find the most relevant and important factors in the adoption of digital marketing in startups. We are looking to validate the results of each step with experts in the field; in order to do that an online focus group tool will be used so that the digital marketing specialists can propound their opinions. © 2018 AISTI.",Adoption Models; Digital Marketing; Enterprises; Focus Group; Information Systems; Startups,Commerce; Factor analysis; Industry; Information systems; Information use; Adoption model; Business plans; Digital marketing; Financial capital; Focus groups; Internal characteristics; Qualitative analysis; Startups; Marketing,,Rocha A.Cota M.P.Lozano-Tello A.Goncalves R.,IEEE Computer Society,21660727,9.7899E+12,,,English,"Iberian Conf. Inf. Syst. Technol., CISTI",Conference Paper,Final,,Scopus,2-s2.0-85049883194,3
"David A., Sudhahar J.C., Varghese J.",57202831380;15049792400;57202834209;,Digital technology integration for small restaurant business in India,2018,International Journal of Civil Engineering and Technology,9,6,,1593,1601,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049513552&partnerID=40&md5=abb870b60f26c37442b3865271bea464,"Department of Management, Karunya Institute of Technology and Sciences, Tamilnadu, India","David, A., Department of Management, Karunya Institute of Technology and Sciences, Tamilnadu, India; Sudhahar, J.C., Department of Management, Karunya Institute of Technology and Sciences, Tamilnadu, India; Varghese, J., Department of Management, Karunya Institute of Technology and Sciences, Tamilnadu, India","Social Media Marketing is an emerging business trend. In today’s world we can see that Millions of people are using Social Media Platforms for various reasons. In early stages of development of social media websites the concept was that social media is just for communication between family and friends. This concept has totally changed to a new dimension. In today’s business environment we can see many companies are reaping the benefits of Social media by integrating it into business. In these small restaurants from the management perspective of small business owners were taken for the research. The investigator in this article carefully analyzes the benefits of social media, its drawbacks, integration of Social Media into business. The researchers found that there was minimal involvement of marketing department in small restaurants. The authors analyzed email marketing as a major promotional tool for promotional activities and found that it is also used as a promotional tool in this digital environment of business, The researcher found that Facebook is still the most popular promotional tool in Social media and Social media has played a major role in improving the brand image of the business. The respondents were not in favor of blogging as a promotional tool. © IAEME Publication.",Digital Marketing; Online Marketing Integration; Small Restaurants; SME; Social Media,,,,IAEME Publication,9766308,,,,English,Int.J. Civ. Eng. Technol.,Article,Final,,Scopus,2-s2.0-85049513552,3
"Yau H.K., Tang H.Y.H.",35333476100;57200223539;,Analyzing ecology of Internet marketing in small-and medium-sized enterprises (SMEs) with unsupervised-learning algorithm,2018,Journal of Marketing Analytics,6,2,,53,61,,,10.1057/s41270-018-0030-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046353528&doi=10.1057%2fs41270-018-0030-1&partnerID=40&md5=2ce53adcffafe07316f685bbabf978c9,"Department of Systems Engineering and Engineering Management, City University of Hong Kong, Kowloon Tong, Hong Kong","Yau, H.K., Department of Systems Engineering and Engineering Management, City University of Hong Kong, Kowloon Tong, Hong Kong; Tang, H.Y.H., Department of Systems Engineering and Engineering Management, City University of Hong Kong, Kowloon Tong, Hong Kong","Internet marketing is a business imperative due to the irrevocable and unstoppable trend of Internet. In this paper, we propose the methodology of unsupervised learning algorithm to apply on the survey data of Internet marketing. Hidden relationships among critical factors in the model are examined using PC-algorithm. To analyze the ecology of Internet marketing in small-and-medium enterprises, similar commercial organizations are grouped into segments by K-means clustering for studying their characteristics. The last methodology is to perform two levels of clustering using self-organizing map and K-means algorithm to save computational cost for massive data instances. The analytical result describes the overview of the Internet usage under stiff-competition business environment which is beneficial to management level to make a more appropriate decision to upload the existing marketing activities online. © 2018 Macmillan Publishers Ltd., part of Springer Nature.",Internet marketing; K-mean clustering; SMEs; SOM; Unsupervised-learning algorithm,,"Yau, H.K.; Department of Systems Engineering and Engineering Management, City University of Hong KongHong Kong; email: honkyau@cityu.edu.hk",,Palgrave Macmillan Ltd.,20503326,,,,English,J. Marketing Analytics,Article,Final,,Scopus,2-s2.0-85046353528,3
"Rashid J., Adnan S.M., Nisar M.W., Irtaza A., Arafat S.Y., Iqbal M.J.",57203222981;57201287576;14038148600;54882450900;35247454500;57202609807;,Advertiser's perception of Internet marketing for small and medium enterprises in Pakistan,2018,"2018 International Conference on Computing, Mathematics and Engineering Technologies: Invent, Innovate and Integrate for Socioeconomic Development, iCoMET 2018 - Proceedings",2018-January,,,1,7,,,10.1109/ICOMET.2018.8346362,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050975311&doi=10.1109%2fICOMET.2018.8346362&partnerID=40&md5=770695f8411be064022820de5bf8942a,"Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan; Department of Computer Science, COMSATS Institute of Information Technology, Wah, Pakistan","Rashid, J., Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan; Adnan, S.M., Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan; Nisar, M.W., Department of Computer Science, COMSATS Institute of Information Technology, Wah, Pakistan; Irtaza, A., Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan; Arafat, S.Y., Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan; Iqbal, M.J., Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan","Internet-based businesses have made it quite possible for an individual to communicate with a lot of people about some particular brands, companies or products. Online shopping websites for the retail sales direct to consumers. Therefore, the impact of C2C (consumer-to-consumer) communications has been greatly increased in the marketplace. It is now important for the businesses to promote their products or solutions over the Internet. The trend of online purchasing and selling is increasing. This paper presents the current state of affairs regarding the implementation of Internet Marketing strategies in Pakistan. This study focuses on the online advertiser's perception towards the use of Search Engine Optimization (SEO) and Social Media Optimization (SMO). The research study is conducted to find out expert's opinion regarding online promotion of the businesses. The results clearly indicate that experts more focus on SEO with compared to SMO. On the basis of results, it's also claimed that products and business can be promoted by SEO strategies. In this way, more numbers of visitors click on website and conversion rate also increased. © 2018 IEEE.",Business to Business; Business to Consumer; Internet Marketing; Search Engine Optimization; Search Engine Results Pages; SEO; SERP; SMO; Social Media Optimization,Electronic commerce; Search engines; Social networking (online); Business to business; Business to Consumer; Internet marketing; Search engine optimizations; Search engine results pages; SERP; Social media; Sales,"Rashid, J.; Department of Computer Science, University of Engineering and TechnologyPakistan; email: junaidrashid062@gmail.com",,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Int. Conf. Comput., Math. Engi. Technol.: Invent, Innov. Integrate Socioecon. Dev., iCoMET - Proc.",Conference Paper,Final,,Scopus,2-s2.0-85050975311,3
