Authors,Authors_ID,Title,Year,Source_title,Global_Citations,Affiliations,Abstract,Author_Keywords,Index_Keywords,Abb_Source_Title,Document_Type,calificacion,ID,Num_Authors,Frac_Num_Documents,Countries,Country_1st_Author,Abstract_Keywords,Abstract_Author_Keywords,Abstract_Index_Keywords,Bradford_Law_Zone,Institutions,Institution_1st_Author,Author_Keywords_CL,Index_Keywords_CL,Keywords,Keywords_CL,Abstract_Author_Keywords_CL,Abstract_Index_Keywords_CL,Abstract_Keywords_CL
Bartoloni S;Ancillai C;Pascucci F;Gregori GL,57203163204;57201359345;57192997985;42861365300,Are SMEs 'cutting corners' on social media marketing? An exploratory study in the Italian context,2019,International Journal of Internet Marketing and Advertising,0.0,"Universita Politecnica Delle Marche, Piazzale Martelli n 8, Ancona, 60121, Italy","the recent rise of social media has presented small and medium size firms with renewed challenges and benefits. despite the impact of social media on businesses' activities has been largely acknowledged, research on their adoption and use by sme is still limited. therefore, the scope of this study is twofold: bridging a theoretical gap and answering a business problem. in particular, the study aims to analyze social media adoption, level of usage, strategies and barriers in the context of smes. empirical data were collected in two phases: a cross-sectional survey (122 completed questionnaires) followed by a multiple case study analysis of seven smes. the findings show that, despite a high adoption rate of social media, its actual usage often seems to be improvised and lacking a clear strategy. smes seem to be deficient of an adequate organizational structure, skilled human resources and financial resources. a positive relationship between the presence of a marketing function and social media use also emerged. copyright ",digital marketing;marketing function;multiple case study;smes;social media use;survey,,Int J Internet Mark Advert,Article,3,78,4,0.25,italy,italy,adoption;benefits;business;challenges;financial resources;human;marketing function;multiple case study;research;resources;small;sme;smes;social media;social media use;strategy;survey,adoption;benefits;business;challenges;marketing function;multiple case study;resources;small;sme;smes;social media;social media use;strategy;survey,adoption;benefits;business;challenges;financial resources;human;research;small;sme;smes;social media,1.0,Universita Politecnica Delle Marche ITA,Universita Politecnica Delle Marche ITA,digital marketing;marketing function;multiple case study;sme;social media use;survey,,digital marketing;marketing function;multiple case study;smes;social media use;survey,digital marketing;marketing function;multiple case study;sme;social media use;survey,adoption;benefits;business;challenges;marketing function;multiple case study;resources;small;sme;sme;social media;social media use;strategy;survey,adoption;benefits;business;challenges;financial resources;human;research;small;sme;sme;social media,adoption;benefits;business;challenges;financial resources;human;marketing function;multiple case study;research;resources;small;sme;sme;social media;social media use;strategy;survey
Gati M;Bauer A,57205214658;56675279400,Marketing decision-making in hungarian smes ,2019,Market-Trziste,1.0,"Corvinus University of Budapest, Fovam ter 8., Budapest, H-1093, Hungary","purpose - small and medium-sized enterprises (smes) play an important role in the economy, in both national and international markets. these organizations work under different conditions, possess different capabilities, and therefore have a different approach to certain company functions (e.g., marketing). smes define their marketing activity within a scope that differs from their large counterparts. our aim is to provide a better understanding of certain influencing factors that are the antecedents to the understanding of an sme’s marketing activities. design/methodology/approach - since relatively little has been written on these effects, we decided to use a qualitative approach because of both the sample (smes) and the research problem. the sme marketing activity was analyzed from an exploratory perspective, with the research conducted in the form of in-depth interviews in 15 smes. we had the opportunity to analyze our research questions in a hungarian context. findings and implications - as a result, some influencing patterns emerged, such as the deciding role of the sme leader, strong customer focus, the ability to adapt to the market, and innovative, entrepreneurial characteristics. the results can help both theoretical researchers of sme marketing and sme marketing practitioners. limitations - the limitations of this paper lie in the sample size and structure, and in the limitations of qualitative methodology. originality - despite limitations, the influencing factors that emerged have not been analyzed in prior empiri cal studies in terms of smes’ decision-making factors in the context of online marketing and use of social media tools. by answering our research questions, we can provide a better explanation of how marketing decisions are made by smes. ",qualitative in-depth interviews;small and medium-sized enterprise marketing;small and medium-sized enterprise marketing decisions;small and medium-sized enterprises;the scope of small and medium-sized enterprise marketing,,Mark -Trziste,Article,2,79,2,0.5,hungary,hungary,customer;factors;in-depth interviews;market;marketing;marketing activities;methodology;online marketing;research;sme;smes;social media tools,customer;factors;market;marketing;online marketing;sme;smes;social media tools,factors;in-depth interviews;marketing;marketing activities;methodology;online marketing;research;sme;smes,3.0,Corvinus University of Budapest HUN,Corvinus University of Budapest HUN,qualitative in-depth interviews;small and medium-sized enterprise marketing;small and medium-sized enterprise marketing decisions;small and medium-sized enterprises (smes);the scope of small and medium-sized enterprise marketing,,qualitative in-depth interviews;small and medium-sized enterprise marketing;small and medium-sized enterprise marketing decisions;small and medium-sized enterprises;the scope of small and medium-sized enterprise marketing,qualitative in-depth interviews;small and medium-sized enterprise marketing;small and medium-sized enterprise marketing decisions;small and medium-sized enterprises (smes);the scope of small and medium-sized enterprise marketing,customer;factorization;market;market;online marketing;sme;sme;social media tools,factorization;in-depth interviews;market;marketing activities;methodology;online marketing;research;sme;sme,customer;factorization;in-depth interviews;market;market;marketing activities;methodology;online marketing;research;sme;sme;social media tools
Kim D-S;You Y-Y,57215220763;55812871800,A study of the effects of marketing competency factors on the export performance of Korean SMEs on global e-Commerce platforms,2019,"International Journal of Innovation, Creativity and Change",0.0,"Dept. of Smart Convergence Consulting, Hansung Universityks013, South Korea","many marketing performance studies have focused on e-commerce exports, which have been growing rapidly in recent years, but there are few studies on marketing competency factors based on the type of online shopping malls. the purpose of this study is to study the effect of marketing capability factors on export performance. the research subjects are power sellers who are subscribed to go-global, ktnet's ecommerce export customs clearance service. the survey consisted of marketing competencies and exportability-related items, and was measured using the likert fivepoint scale. for the descriptive statistical analysis, exploratory factor analysis, reliability analysis, correlation analysis, and regression analysis were performed using the spss 22 statistical package. looking at the results of this study, the p values of measured independent variables, such as product factors, logistics factors and customer factors, were measured at the.000,.008 and.000 levels respectively, and the significance was verified. second, marketing capabilities are found to have a positive impact on export performance. using the beta value of the standardization factor, the relative effect of the three independent variables on the dependent variables of export performance was shown to be the product (.376), followed by the customer (.294) and logistics (.183). unlike other studies, logistics competence is of low importance, which is not due to the importance of logistics factors, but rather related to the use of advanced logistics services by the open market. third, marketing capabilities have been shown to affect the financial and non-financial performance of open market operators. for the open market entry shopping malls in this study, it was found that marketing capabilities were the most influential in terms of non-financial performance among export performance on increased purchases by existing customers. although generalization of the results of this study is limited, as it only targets analysis of marketing performance factors in open-market shopping malls, it provides a basis for the necessary marketing mix to power sellers and the policy direction for e-commerce development. ",business-to-consumer (b2c);customer satisfaction;korean wave;marketing factors;online export;online marketing;open market,,Int J Innov Creat Change,Article,3,80,2,0.5,south korea,south korea,affect;competencies;customer;dependent variables;e-commerce;e-commerce development;ecommerce;export;export performance;exports;factor analysis;factors;independent variables;marketing;marketing capabilities;marketing mix;marketing performance;open market;product;regression;research;services;standardization;survey,affect;competencies;customer;e-commerce;ecommerce;export performance;exports;factors;marketing;marketing capabilities;marketing mix;marketing performance;open market;product;regression;services;standardization;survey,affect;dependent variables;e-commerce;e-commerce development;export;factor analysis;factors;independent variables;marketing;marketing mix;product;research,1.0,Hansung Universityks013 KOR,Hansung Universityks013 KOR,business-to-consumer (b2c);customer satisfaction;korean wave;marketing factors;online export;online marketing;open market,,business-to-consumer (b2c);customer satisfaction;korean wave;marketing factors;online export;online marketing;open market,business-to-consumer (b2c);customer satisfaction;korean wave;marketing factors;online export;online marketing;open market,affect;competences;customer;e-commerce;ecommerce;export performance;export;factorization;market;marketing capabilities;marketing mix;marketing performance;open market;product;regression;services;standardization;survey,affect;dependent variables;e-commerce;e-commerce development;export;factor analysis;factorization;independent variables;market;marketing mix;product;research,affect;competences;customer;dependent variables;e-commerce;e-commerce development;ecommerce;export;export performance;export;factor analysis;factorization;independent variables;market;marketing capabilities;marketing mix;marketing performance;open market;product;regression;research;services;standardization;survey
Ulas D,12794003400,Digital Transformation Process and SMEs,2019,Procedia Computer Science,0.0,"Ankara University, Faculty of Political Sciences, Cebeci, Ankara, 06590, Turkey","the process of digital transformation is a period in which entities, universities, public and employees are transformed and; new business models and business practices are formed. digital transformation is a functional use of web in design, manufacturing, marketing, selling, promotion and is data-oriented management model. therefore, capabilities of firms are increased and their processes are improved. digital technologies are developments regarding smartphones, cloud computing, big data, artificial intelligence, robotics systems, internet of things, 3d printing, virtualization, cyber security, sensor technologies, advanced robotics systems, automation and etc. which all is intensely used in many fields of economic and social life.sme's consist of 99,83 % total enterprises, and 72,7 % of total employment, 50,6 % of total value added and provide 55,1 % of export, take an important role in economy. they should transform their organizational structures and business making cultures starting from manufacturing technologies to management percepts as to get a productive digital transformation process. the fact that sme's being able to perform cost-benefit analysis of digital technologies and being aware of that technologies is significant.this paper provides a comprehensive view of the factors affecting digital transformation process and describes the digital transformation of the manufacturing sector in turkey.the programs and softwares that smes can use to perform digital transformation, and can benefit from it, are explained. empirical studies on smes shows that smes have erratic behaviors in terms of information and communications technology (ict) investment and need external support to integrate digital transformations in the overall strategy of the firm. ",3d printing;big data;cloud computing;digital transformation;e-commerce;enterprise 4.0;smes,3-d printing;3d printers;big data;cloud computing;cost benefit analysis;digital technologies;digital transformation;engineering research;information and communications technology;manufacturing sector;manufacturing technologies;metadata;organizational structures;robotics;smes,Procedia Comput Sci,Conference Paper,2,81,1,1.0,turkey,turkey,3d printing;artificial intelligence;automation;big data;business;business models;cloud computing;design;digital technologies;digital transformation;empirical studies;enterprises;etc;export;factors;ict;information and communications technology;internet;investment;management;manufacturing sector;manufacturing technologies;marketing;organizational structures;promotion;robotics;sme;smes;strategy,3d printing;big data;business;cloud computing;digital technologies;digital transformation;enterprises;etc;factors;ict;internet;investment;management;marketing;promotion;sme;smes;strategy,artificial intelligence;automation;big data;business;business models;cloud computing;design;digital technologies;digital transformation;empirical studies;export;factors;information and communications technology;internet;management;manufacturing sector;manufacturing technologies;marketing;organizational structures;robotics;sme;smes,2.0,Ankara University TUR,Ankara University TUR,3d printing;big data;cloud computing;digital transformation;e-commerce;enterprise 4.0;sme,3-d printing;3d printers;big data;cloud computing;cost benefit analysis;digital technologies;digital transformation;engineering research;information and communication technologies;manufacturing sector;manufacturing technologies;metadata;organizational structures;robotics;sme,3-d printing;3d printers;3d printing;big data;cloud computing;cost benefit analysis;digital technologies;digital transformation;e-commerce;engineering research;enterprise 4.0;information and communications technology;manufacturing sector;manufacturing technologies;metadata;organizational structures;robotics;smes,3-d printing;3d printers;3d printing;big data;cloud computing;cost benefit analysis;digital technologies;digital transformation;e-commerce;engineering research;enterprise 4.0;information and communication technologies;manufacturing sector;manufacturing technologies;metadata;organizational structures;robotics;sme,3d printing;big data;business;cloud computing;digital technologies;digital transformation;enterprises;etc;factorization;ict;internet;investment;management;market;promotion;sme;sme;strategy,artificial intelligence;automation;big data;business;business model;cloud computing;design;digital technologies;digital transformation;empirical studies;export;factorization;information and communication technologies;internet;management;manufacturing sector;manufacturing technologies;market;organizational structures;robotics;sme;sme,3d printing;artificial intelligence;automation;big data;business;business model;cloud computing;design;digital technologies;digital transformation;empirical studies;enterprises;etc;export;factorization;ict;information and communication technologies;internet;investment;management;manufacturing sector;manufacturing technologies;market;organizational structures;promotion;robotics;sme;sme;strategy
Alnsour MS,43060990700,Online relationship marketing for banks in face-to-face economies,2018,Journal of Marketing Analytics,0.0,"Faculty of Business Administration, Al-Balqa Applied University, Al-Salt, 19117, Jordan","online relationship marketing enables organizations to maintain and develop relationships with new and existing customers. in this study, we investigate online relationship marketing and the resulting loyalty for banks and their customers in an economy where face-to-face interactions are the norm. we introduce a model comprising relationship interaction and relationship quality and validate this for jordanian banks and their sme customers. increases in relational interaction were found to have a positive effect on the relationship quality dimensions of trust, satisfaction, and commitment. these then led to an increase in customer loyalty. despite the preference in the economy for social presence in retail interactions, banks were able to establish effective online retail relationships with their sme customers. ",loyalty;online relationship marketing;relational interaction;relationship quality,,J Marketing Analytics,Article,2,82,1,1.0,jordan,jordan,customer;loyalty;online;online relationship marketing;relational interaction;relationship quality;sme,customer;loyalty;online;online relationship marketing;relational interaction;relationship quality;sme,online;sme,2.0,Al-Balqa Applied University JOR,Al-Balqa Applied University JOR,loyalty;online relationship marketing;relational interaction;relationship quality,,loyalty;online relationship marketing;relational interaction;relationship quality,loyalty;online relationship marketing;relational interaction;relationship quality,customer;loyalty;online;online relationship marketing;relational interaction;relationship quality;sme,online;sme,customer;loyalty;online;online relationship marketing;relational interaction;relationship quality;sme
Dilham A;Sofiyah FR;Muda I,57195232647;57204116002;6508070248,The internet marketing effect on the customer loyalty level with brand awareness as intervening variables,2018,International Journal of Civil Engineering and Technology,5.0,"Universitas Sumatra Utara, Medan, Indonesia","the purpose of this study is to determine whether internet marketing can affect the level of customer loyalty with brand awareness as an intervening variable. this research is an associative research that is to know the impact to each variables. the population is the msmes female in north sumatra, indonesia with the number of samples of 95 respondents selected by purposive sampling technique. primary data collection using questionnaires, interviews as well as literature study for secondary one. hypothesis test in this study using multiple linear regression analysis technique with significance value α = 5% (0.05). the results of this study are internet marketing indicators that have significant impact on brand awareness however customer relationship, online and satisfaction variables have no significant effect on brand awareness. internet marketing indicators that have a significant influence on customer loyalty are just customer relationship and satisfaction variables, while process variables, online and exchange have no significant effect on customer loyalty to female smes in north sumatera. internet marketing depicted with customer relationship variables and satisfaction can affect the level of customer loyalty through existing brand awareness. ",brand awareness;internet marketing;loyalty,,IntJ Civ Eng Technol,Article,2,83,3,0.3333333333333333,indonesia,indonesia,affect;brand awareness;customer;data collection;female;indonesia;internet marketing;linear regression;loyalty;msmes;online;research;smes,affect;brand awareness;customer;indonesia;internet marketing;loyalty;msmes;online;smes,affect;brand awareness;data collection;female;indonesia;internet marketing;linear regression;online;research;smes,2.0,Universitas Sumatra Utara IDN,Universitas Sumatra Utara IDN,brand awareness;internet marketing;loyalty,,brand awareness;internet marketing;loyalty,brand awareness;internet marketing;loyalty,affect;brand awareness;customer;indonesia;internet marketing;loyalty;msmes;online;sme,affect;brand awareness;data collection;female;indonesia;internet marketing;linear regression;online;research;sme,affect;brand awareness;customer;data collection;female;indonesia;internet marketing;linear regression;loyalty;msmes;online;research;sme
Mihai Dobrescu R;Petronela Simion C;Grecu I;Aurelian Popescu C,57204121620;57204126781;55926875800;57204123879,Study on the degree of use and knowledge of digital marketing elements in Romanian small and medium enterprises,2018,MATEC Web of Conferences,1.0,"Politehnica University of Bucharest (UPB), Faculty of Entrepreneurship, Business Engineering and Management, Romania","this paper aims to identify digital marketing elements, to analyze and to study the industry's degree of knowledge regarding digital marketing, as well as the degree of use of digital technology in the marketing mix of small and medium enterprises(sme's) in romania. first of all, the basic concepts of digital marketing will be defined and analyzed: e-bussines, e-commerce and e-marketing, and then, in order to identify the degree of knowledge of these elements as well as the degree of use in the promotion process, a statistical research was carried out which had the following objectives: to determine the degree to which smes in romania know the concepts of digital marketing; to identify whether these organizations have developed digital marketing strategies; to identify whether there are people or groups of people who are responsible for digital marketing activities at the organization level. ",,basic concepts;commerce;degree-of-knowledge;digital marketing;digital technologies;e-marketing;marketing;marketing mix;small and medium enterprise;statistical research,MATEC Web Conf,Conference Paper,3,84,4,0.25,romania,romania,basic concepts;digital marketing;digital technology;e-commerce;e-marketing;industry;marketing mix;organization;promotion;romania;small and medium enterprises;sme;smes;statistical research,digital marketing;digital technology;e-commerce;e-marketing;marketing mix;promotion;small and medium enterprises;sme;smes,basic concepts;digital marketing;e-commerce;e-marketing;industry;marketing mix;organization;romania;sme;smes;statistical research,3.0,Politehnica University of Bucharest ROU,Politehnica University of Bucharest ROU,,basic concepts;commerce;degree-of-knowledge;digital marketing;digital technologies;e-marketing;market;marketing mix;small and medium enterprise;statistical research,basic concepts;commerce;degree-of-knowledge;digital marketing;digital technologies;e-marketing;marketing;marketing mix;small and medium enterprise;statistical research,basic concepts;commerce;degree-of-knowledge;digital marketing;digital technologies;e-marketing;market;marketing mix;small and medium enterprise;statistical research,digital marketing;digital technologies;e-commerce;e-marketing;marketing mix;promotion;small and medium enterprise;sme;sme,basic concepts;digital marketing;e-commerce;e-marketing;industry;marketing mix;organization;romania;sme;sme;statistical research,basic concepts;digital marketing;digital technologies;e-commerce;e-marketing;industry;marketing mix;organization;promotion;romania;small and medium enterprise;sme;sme;statistical research
Teixeira S;Branco F;Martins J;Au-Yong-Oliveira M;Moreira F;Goncalves R;Perez-Cota M;Jorge F,57196347834;7003808329;35321317600;57193326824;8649758400;24399121800;6507441503;57201501098,Main factors in the adoption of digital marketing in startups an online focus group analysis,2018,"Iberian Conference on Information Systems and Technologies, CISTI",4.0,"University of Tras-os-Montes e Alto Douro, Vila Real, Portugal; INESC TEC, UTAD, Vila Real, Portugal; GOVCOPP, Department of Economics, Management, Industrial Engineering and Tourism, University of Aveiro, Aveiro, Portugal; 3IJP, REMIT, University Portucalense, Porto, Portugal; Informatics Department, University of Vigo, Vigo, Spain; UTAD, CETRAD (Centro de Estudos Transdisciplinares Para O Desenvolvimento), Portugal","the main purpose of this paper is to help small businesses such as startups to successfully adopt and implement digital marketing as a strategy in their business plan. given that many of these companies have a considerable number of fragile internal characteristics, such as a lack of access to financial capital while lacking also qualified human resources, they can't adopt a technology without first evaluating how it would affect them. with this in mind, this study will go through several stages of qualitative analysis to find the most relevant and important factors in the adoption of digital marketing in startups. we are looking to validate the results of each step with experts in the field; in order to do that an online focus group tool will be used so that the digital marketing specialists can propound their opinions. ",adoption models;digital marketing;enterprises;focus group;information systems;startups,adoption model;business plans;commerce;digital marketing;factor analysis;financial capital;focus groups;industry;information systems;information use;internal characteristics;marketing;qualitative analysis;startups,"Iberian Conf Inf Syst Technol, CISTI",Conference Paper,3,85,8,0.125,spain;portugal,portugal,adoption;affect;business;digital marketing;factors;financial capital;focus group;human;internal characteristics;online;qualitative analysis;resources;small businesses;startups;strategy,adoption;affect;business;digital marketing;factors;focus group;online;resources;small businesses;startups;strategy,adoption;affect;business;digital marketing;factors;financial capital;human;internal characteristics;online;qualitative analysis;startups,3.0,University of Tras PRT;University of Aveiro PRT;University Portucalense PRT;University of Vigo ESP,University of Tras PRT,adoption model;digital marketing;enterprises;focus group;information systems;startups,adoption model;business plans;commerce;digital marketing;factor analysis;financial capital;focus group;industry;information systems;information use;internal characteristics;market;qualitative analysis;startups,adoption model;adoption models;business plans;commerce;digital marketing;enterprises;factor analysis;financial capital;focus group;focus groups;industry;information systems;information use;internal characteristics;marketing;qualitative analysis;startups,adoption model;business plans;commerce;digital marketing;enterprises;factor analysis;financial capital;focus group;industry;information systems;information use;internal characteristics;market;qualitative analysis;startups,adoption;affect;business;digital marketing;factorization;focus group;online;resources;small business;startups;strategy,adoption;affect;business;digital marketing;factorization;financial capital;human;internal characteristics;online;qualitative analysis;startups,adoption;affect;business;digital marketing;factorization;financial capital;focus group;human;internal characteristics;online;qualitative analysis;resources;small business;startups;strategy
David A;Sudhahar JC;Varghese J,57202831380;15049792400;57202834209,Digital technology integration for small restaurant business in India,2018,International Journal of Civil Engineering and Technology,1.0,"Department of Management, Karunya Institute of Technology and Sciences, Tamilnadu, India","social media marketing is an emerging business trend. in today’s world we can see that millions of people are using social media platforms for various reasons. in early stages of development of social media websites the concept was that social media is just for communication between family and friends. this concept has totally changed to a new dimension. in today’s business environment we can see many companies are reaping the benefits of social media by integrating it into business. in these small restaurants from the management perspective of small business owners were taken for the research. the investigator in this article carefully analyzes the benefits of social media, its drawbacks, integration of social media into business. the researchers found that there was minimal involvement of marketing department in small restaurants. the authors analyzed email marketing as a major promotional tool for promotional activities and found that it is also used as a promotional tool in this digital environment of business, the researcher found that facebook is still the most popular promotional tool in social media and social media has played a major role in improving the brand image of the business. the respondents were not in favor of blogging as a promotional tool. ",digital marketing;online marketing integration;small restaurants;sme;social media,,IntJ Civ Eng Technol,Article,3,86,3,0.3333333333333333,india,india,article;benefits;brand;business;business environment;communication;digital;email marketing;facebook;management;marketing;research;small business;small restaurants;social media;social media platforms;websites,benefits;brand;business;business environment;communication;digital;email marketing;facebook;management;marketing;small business;small restaurants;social media;websites,article;benefits;business;communication;email marketing;facebook;management;marketing;research;small business;social media;social media platforms;websites,2.0,Karunya Institute of Technology and Sciences IND,Karunya Institute of Technology and Sciences IND,digital marketing;online marketing integration;small restaurants;sme;social media,,digital marketing;online marketing integration;small restaurants;sme;social media,digital marketing;online marketing integration;small restaurants;sme;social media,benefits;brand;business;business environment;communication;digital;email marketing;facebook;management;market;small business;small restaurants;social media;website,article;benefits;business;communication;email marketing;facebook;management;market;research;small business;social media;social media platforms;website,article;benefits;brand;business;business environment;communication;digital;email marketing;facebook;management;market;research;small business;small restaurants;social media;social media platforms;website
Yau HK;Tang HYH,35333476100;57200223539,Analyzing ecology of Internet marketing in small-and medium-sized enterprises (SMEs) with unsupervised-learning algorithm,2018,Journal of Marketing Analytics,0.0,"Department of Systems Engineering and Engineering Management, City University of Hong Kong, Kowloon Tong, Hong Kong","internet marketing is a business imperative due to the irrevocable and unstoppable trend of internet. in this paper, we propose the methodology of unsupervised learning algorithm to apply on the survey data of internet marketing. hidden relationships among critical factors in the model are examined using pc-algorithm. to analyze the ecology of internet marketing in small-and-medium enterprises, similar commercial organizations are grouped into segments by k-means clustering for studying their characteristics. the last methodology is to perform two levels of clustering using self-organizing map and k-means algorithm to save computational cost for massive data instances. the analytical result describes the overview of the internet usage under stiff-competition business environment which is beneficial to management level to make a more appropriate decision to upload the existing marketing activities online. ",internet marketing;k-mean clustering;smes;som;unsupervised-learning algorithm,,J Marketing Analytics,Article,3,87,2,0.5,china,china,business;business environment;cost;factors;internet;internet marketing;management;marketing activities;methodology;online;survey,business;business environment;factors;internet;internet marketing;management;online;survey,business;cost;factors;internet;internet marketing;management;marketing activities;methodology;online,2.0,City University of Hong Kong CHN,City University of Hong Kong CHN,internet marketing;k-mean clustering;sme;som;unsupervised-learning algorithm,,internet marketing;k-mean clustering;smes;som;unsupervised-learning algorithm,internet marketing;k-mean clustering;sme;som;unsupervised-learning algorithm,business;business environment;factorization;internet;internet marketing;management;online;survey,business;cost;factorization;internet;internet marketing;management;marketing activities;methodology;online,business;business environment;cost;factorization;internet;internet marketing;management;marketing activities;methodology;online;survey
Rashid J;Adnan SM;Nisar MW;Irtaza A;Arafat SY;Iqbal MJ,57203222981;57201287576;14038148600;54882450900;35247454500;57202609807,Advertiser's perception of Internet marketing for small and medium enterprises in Pakistan,2018,"2018 International Conference on Computing, Mathematics and Engineering Technologies: Invent, Innovate and Integrate for Socioeconomic Development, iCoMET 2018 - Proceedings",0.0,"Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan; Department of Computer Science, COMSATS Institute of Information Technology, Wah, Pakistan","internet-based businesses have made it quite possible for an individual to communicate with a lot of people about some particular brands, companies or products. online shopping websites for the retail sales direct to consumers. therefore, the impact of c2c (consumer-to-consumer) communications has been greatly increased in the marketplace. it is now important for the businesses to promote their products or solutions over the internet. the trend of online purchasing and selling is increasing. this paper presents the current state of affairs regarding the implementation of internet marketing strategies in pakistan. this study focuses on the online advertiser's perception towards the use of search engine optimization (seo) and social media optimization (smo). the research study is conducted to find out expert's opinion regarding online promotion of the businesses. the results clearly indicate that experts more focus on seo with compared to smo. on the basis of results, it's also claimed that products and business can be promoted by seo strategies. in this way, more numbers of visitors click on website and conversion rate also increased. ",business to business;business to consumer;internet marketing;search engine optimization;search engine results pages;seo;serp;smo;social media optimization,business to business;business to consumer;electronic commerce;internet marketing;sales;search engine optimizations;search engine results pages;search engines;serp;social media;social networking (online),"Int Conf Comput, Math Engi Technol: Invent, Innov Integrate Socioecon Dev, iCoMET - Proc",Conference Paper,3,88,6,0.1666666666666666,pakistan,pakistan,business;communications;consumers;online;online purchasing;perception;promotion;research;sales;search engine optimization;seo;smo;social media optimization;the internet;website;websites,business;communications;consumers;online;promotion;search engine optimization;seo;smo;social media optimization;the internet;website;websites,business;online;online purchasing;perception;research;sales;websites,3.0,University of Engineering and Technology PAK;Comsats Institute of Information Technology PAK,University of Engineering and Technology PAK,business to business;business-to-consumer (b2c);internet marketing;search engine optimization;search engine results pages;seo;serp;smo;social media optimization,business to business;business-to-consumer (b2c);electronic commerce;internet marketing;sales;search engine optimization;search engine results pages;search engine;serp;social media;social network,business to business;business to consumer;electronic commerce;internet marketing;sales;search engine optimization;search engine optimizations;search engine results pages;search engines;seo;serp;smo;social media;social media optimization;social networking (online),business to business;business-to-consumer (b2c);electronic commerce;internet marketing;sales;search engine;search engine optimization;search engine results pages;seo;serp;smo;social media;social media optimization;social network,business;communication;consumer;online;promotion;search engine optimization;seo;smo;social media optimization;the internet;website;website,business;online;online purchasing;perception;research;sales;website,business;communication;consumer;online;online purchasing;perception;promotion;research;sales;search engine optimization;seo;smo;social media optimization;the internet;website;website
Zahiri S;El-Gohary H;Hussain J,57205604783;54399994100;15070992900,Internet marketing adoption by iranian distribution industry: An attempt to understand the reality,2018,International Journal of Customer Relationship Marketing and Management,0.0,"Birmingham City University, Birmingham, United Kingdom; Faculty of Business Law and Social Sciences, Birmingham City University, Birmingham, United Kingdom; College of Business and Economics, Qatar University, Qatar; Cairo University Business School, Cairo University, Cairo, Egypt; Birmingham City Business School, Birmingham City University, Birmingham, United Kingdom","this article describes how although the internet has become a significant platform for the advancement of marketing strategies and developments, there have been inadequate empirical research efforts concerning its adoption for conducting internet marketing in developing countries, specifically in the middle east area, and more particularly in iran. previous studies investigated internet marketing adoption and acceptance extensively, by employing different theories of new technology adoption in developed countries, while there have been inadequate empirical research efforts concerning its adoption in developing countries. it is widely recognized that the adoption of internet marketing can offer substantial opportunities for small and medium sized enterprises (smes). in developing countries, internet marketing opportunities can be a meaningful approach for smes to be able to compete with large businesses and to access, with lowest possible costs, targeted customers. ",internet marketing;internet marketing adoption;iran;iranian distribution industry,,Int J Cust Relatsh Mark Manag,Review,2,89,3,0.3333333333333333,united kingdom;qatar;egypt,united kingdom,adoption;article;costs;developing countries;internet marketing;internet marketing adoption;iran;marketing strategies;opportunities;research;smes;technology adoption;the internet,adoption;developing countries;internet marketing;internet marketing adoption;iran;marketing strategies;opportunities;smes;technology adoption;the internet,adoption;article;costs;developing countries;internet marketing;marketing strategies;research;smes;technology adoption,3.0,Birmingham City University GBR;Birmingham City University GBR;Qatar University QAT;Cairo University Business School EGY;Birmingham City University GBR,Birmingham City University GBR,internet marketing;internet marketing adoption;iran;iranian distribution industry,,internet marketing;internet marketing adoption;iran;iranian distribution industry,internet marketing;internet marketing adoption;iran;iranian distribution industry,adoption;developing countries;internet marketing;internet marketing adoption;iran;marketing strategies;opportunities;sme;technology adoption;the internet,adoption;article;cost;developing countries;internet marketing;marketing strategies;research;sme;technology adoption,adoption;article;cost;developing countries;internet marketing;internet marketing adoption;iran;marketing strategies;opportunities;research;sme;technology adoption;the internet
